100	0.000014 	0.000007 
600	0.000077 	0.000051 
1100	0.000148 	0.000103 
1600	0.000211 	0.000164 
2100	0.000299 	0.000252 
2600	0.000365 	0.000321 
3100	0.000430 	0.000580 
3600	0.000508 	0.000501 
4100	0.000602 	0.000618 
4600	0.000663 	0.000732 
5100	0.000745 	0.000854 
5600	0.000838 	0.000937 
6100	0.000909 	0.001145 
6600	0.000975 	0.001302 
7100	0.001064 	0.001471 
7600	0.001199 	0.001719 
8100	0.001242 	0.001820 
8600	0.001365 	0.001947 
9100	0.001374 	0.002220 
9600	0.001459 	0.002424 
10100	0.001546 	0.002658 
10600	0.002097 	0.003584 
11100	0.001797 	0.003151 
11600	0.003396 	0.003579 
12100	0.001841 	0.003880 
12600	0.001980 	0.004175 
13100	0.002074 	0.004086 
13600	0.002128 	0.004473 
14100	0.003639 	0.004887 
14600	0.004575 	0.005182 
15100	0.002401 	0.005997 
15600	0.002446 	0.006812 
16100	0.002545 	0.008487 
16600	0.002926 	0.007288 
17100	0.003178 	0.007222 
17600	0.003300 	0.008215 
18100	0.002982 	0.007506 
18600	0.003927 	0.007777 
19100	0.003096 	0.009178 
19600	0.003482 	0.010909 
20100	0.004850 	0.010534 
20600	0.004046 	0.009437 
21100	0.004977 	0.011731 
21600	0.005023 	0.010927 
22100	0.005011 	0.011730 
22600	0.004435 	0.011659 
23100	0.004413 	0.011348 
23600	0.004033 	0.012962 
24100	0.005040 	0.012802 
24600	0.005590 	0.013037 
25100	0.004835 	0.014161 
25600	0.006519 	0.013834 
26100	0.004741 	0.014390 
26600	0.004744 	0.015418 
27100	0.004779 	0.015783 
27600	0.006314 	0.016012 
28100	0.007817 	0.017142 
28600	0.005685 	0.017064 
29100	0.006115 	0.018168 
29600	0.005430 	0.018378 
30100	0.005181 	0.020004 
30600	0.005162 	0.021088 
31100	0.005488 	0.019760 
31600	0.005359 	0.021090 
32100	0.005890 	0.022256 
32600	0.005480 	0.021796 
33100	0.008497 	0.022845 
33600	0.006208 	0.023804 
34100	0.008015 	0.024058 
34600	0.006107 	0.024631 
35100	0.006217 	0.026751 
35600	0.006230 	0.025581 
36100	0.006524 	0.027194 
36600	0.007834 	0.028395 
37100	0.006407 	0.028847 
37600	0.006460 	0.028411 
38100	0.006678 	0.029410 
38600	0.007489 	0.030303 
39100	0.006783 	0.032617 
39600	0.006986 	0.031681 
40100	0.006850 	0.034056 
40600	0.008231 	0.034227 
41100	0.007350 	0.036674 
41600	0.007374 	0.035375 
42100	0.007384 	0.038997 
42600	0.007435 	0.036951 
43100	0.007885 	0.048977 
43600	0.007525 	0.045186 
44100	0.009478 	0.044409 
44600	0.007842 	0.044844 
45100	0.008100 	0.048032 
45600	0.008240 	0.043420 
46100	0.008036 	0.044230 
46600	0.008277 	0.053434 
47100	0.009029 	0.050783 
47600	0.008280 	0.047643 
48100	0.008727 	0.056770 
48600	0.008306 	0.051188 
49100	0.008930 	0.050877 
49600	0.009493 	0.051712 
50100	0.008566 	0.053424 
50600	0.009681 	0.060365 
51100	0.009019 	0.059819 
51600	0.009149 	0.069469 
52100	0.009021 	0.071398 
52600	0.010078 	0.060817 
53100	0.009223 	0.064864 
53600	0.009320 	0.073510 
54100	0.010777 	0.068969 
54600	0.009609 	0.078835 
55100	0.009858 	0.078155 
55600	0.011431 	0.100817 
56100	0.010159 	0.087163 
56600	0.010222 	0.076693 
57100	0.010397 	0.086657 
57600	0.010518 	0.089624 
58100	0.010530 	0.090553 
58600	0.010422 	0.078331 
59100	0.010599 	0.075792 
59600	0.010702 	0.072751 
60100	0.010922 	0.072370 
60600	0.012430 	0.070551 
61100	0.011504 	0.073147 
61600	0.011003 	0.073877 
62100	0.011301 	0.075544 
62600	0.012789 	0.077365 
63100	0.012533 	0.078431 
